カード名,仕様,R,型番,タイプ,21-01-25,21-01-26,21-01-27
バトルコンプレッサー フレア団ギア,,-,025/048,グッズ,150,150,150
バトルサーチャー,ミラー,-,105/131,グッズ,300,300,300
バトルサーチャー,ミラー,-,115/171,グッズ,300,300,300
バトルサーチャー,,-,008/018,グッズ,250,250,250
バトルサーチャー,,-,009/016,グッズ,250,250,250
バトルサーチャー,,-,009/018,グッズ,250,250,250
バトルサーチャー,,-,030/049,グッズ,250,250,250
バトルサーチャー,,-,032/049,グッズ,250,250,250
バトルサーチャー,,-,013/020,グッズ,250,250,250
バトルサーチャー,,-,020/041,グッズ,250,250,250
バトルサーチャー,,U,088/100,グッズ,250,250,250
バトルサーチャー,,-,026/048,グッズ,250,250,250
バトルサーチャー,,-,115/171,グッズ,250,250,250
ピーピーマックス,,P,244/XY-P,グッズ,300,300,300
ピーピーマックス,,U,072/080,グッズ,50,50,50
ピーピーマックス,,-,009/018,グッズ,50,50,50
ピーピーマックス,,-,014/020,グッズ,50,50,50
ピーピーマックス,,-,021/041,グッズ,50,50,50
ピーピーマックス,,-,116/171,グッズ,50,50,50
ピーピーマックス,,-,027/048,グッズ,50,50,50
ピーピーマックス,ミラー,-,116/171,グッズ,400,400,400
ポケモン回収サイクロン,,R,073/076,グッズ,200,200,200
ポケモン回収サイクロン,,-,047/048,グッズ,50,50,50
マスターボール,R仕様,-,017/018,グッズ,600,600,600
まんたんのくすり,,P,BW-P,グッズ,200,200,200
まんたんのくすり,バトルフェスタ2015,P,XY-P,グッズ,50,50,50
ミステリートレジャー,,TR,093/094,グッズ,10,10,10
ミステリートレジャー,ミラー,-,119/150,グッズ,10,10,10
ミステリートレジャー,ミラー,-,134/173,グッズ,10,10,10
ミステリートレジャー,ミラー,-,135/173,グッズ,10,10,10
ムキムキダンベル,チャンピオンズリーグ2018,P,126/SM-P,グッズ,500,500,500
ランダムレシーバー,,U,018/026,グッズ,100,100,100
ランダムレシーバー,,-,013/018,グッズ,100,100,100
ランダムレシーバー,,-,014/018,グッズ,100,100,100
ランダムレシーバー,,-,036/046,グッズ,100,100,100
リターンラベル,,P,235/SM-P,グッズ,10,10,10
リピートボール,,U,062/070,グッズ,30,30,30
レジェンドボックス,ミラー,U,073/080,グッズ,300,300,300
レジェンドボックス,,U,073/080,グッズ,100,100,100
レスキュースカーフ,,U,049/050,グッズ,100,100,100
レスキュースカーフ,,-,012/015,グッズ,100,100,100
レベルボール,,U,071/081,グッズ,200,200,200
レベルボール,ミラー仕様,-,008/010,グッズ,800,800,800
レベルボール,,-,121/171,グッズ,150,150,150
レベルボール,,-,037/046,グッズ,150,150,150
レベルボール,,-,029/048,グッズ,150,150,150
レベルボール,ミラー,-,121/171,グッズ,600,600,600
ロトム図鑑,,P,015/SM-P,グッズ,50,50,50
改造ハンマー,,P,BW-P,グッズ,50,50,50
鋼鉄のフライパン,,TR,053/054,グッズ,10,10,10
時のパズル,ミラー,-,112/171,グッズ,100,100,100
時のパズル,,U,071/080,グッズ,10,10,10
時のパズル,,-,112/171,グッズ,10,10,10
時のパズル,,-,024/048,グッズ,10,10,10
闘魂のまわし,カメックスメガバトル,P,XY-P,グッズ,100,100,100
闘魂のまわし,ミラー,-,126/171,グッズ,100,100,100
闘魂のまわし,,U,074/080,グッズ,30,30,30
闘魂のまわし,,-,010/018,グッズ,30,30,30
闘魂のまわし,,-,015/020,グッズ,30,30,30
闘魂のまわし,,-,024/041,グッズ,30,30,30
闘魂のまわし,,-,126/171,グッズ,30,30,30
闘魂のまわし,,-,032/048,グッズ,30,30,30
魅惑のポフレ,,P,243/XY-P,グッズ,30,30,30
AZ,,SR,093/088,サポート,"1,300","1,300","1,300"
N,,SR,071/066,サポート,"4,000","4,000","4,000"
N,SR仕様,-,180/171,サポート,"10,000","10,000","10,000"
N,,P,218/BW-P,サポート,500,500,500
TVレポーター,,SR,074/066,サポート,"1,200","1,200","1,200"
アイリス,,SR,082/076,サポート,"18,000","18,000","18,000"
アオギリの切り札,,SR,077/070,サポート,"1,200","1,200","1,200"
アカギの策略,,-,007/DPt-P,サポート,"2,500","2,500","2,500"
アカネ,,SR,101/095,サポート,"1,600","1,600","1,600"
アクロマ,,SR,075/070,サポート,800,800,800
アズサ,,SR,064/059,サポート,"11,000","11,000","11,000"
アセロラ,,SR,056/049,サポート,"55,000","55,000","55,000"
アララギ博士,,SR,055/051,サポート,"6,000","6,000","6,000"
イリマ,,SR,065/060,サポート,"1,300","1,300","1,300"
ウツギ博士のレクチャー,,SR,102/095,サポート,600,600,700
ウルトラ調査隊,,SR,055/050,サポート,400,400,400
エーテル財団職員,,SR,151/150,サポート,500,500,500
オカルトマニア,SR仕様,-,181/171,サポート,"17,000","17,000","17,000"
おじょうさま,,SR,100/094,サポート,"4,000","4,000","4,000"
オダマキ博士の観察,,SR,078/070,サポート,"1,200","1,200","1,200"
カキ,,SR,056/051,サポート,"1,300","1,300","1,300"
カツラの一発勝負,,SR,058/053,サポート,800,800,800
カヒリ,,SR,065/060,サポート,"1,000","1,100","1,100"
カリン,SR仕様,-,183/171,サポート,"7,000","7,000","7,000"
カルネ,,SR,101/094,サポート,"1,200","1,200","1,200"
かんこうきゃく,,SR,192/173,サポート,"8,000","9,000","9,500"
ククイ博士,,SR,066/060,サポート,"1,500","1,500","1,500"
グズマ,,SR,056/051,サポート,"1,800","1,800","1,800"
グズマ,,SR,152/150,サポート,900,900,900
クセロシキ,,SR,094/088,サポート,300,300,300
クチナシ,,SR,057/052,サポート,200,200,200
グラジオ,,SR,055/050,サポート,"2,500","2,500","2,500"
コルニ,,SR,102/096,サポート,"15,000","15,000","15,000"
ザオボー,,SR,103/095,サポート,50,50,50
サカキの計画,,SR,064/059,サポート,"1,000","1,000","1,000"
サナ,,SR,185/171,サポート,"30,000","32,000","32,000"
ジャッジマン,,SR,066/060,サポート,50,50,50
シロナ,,SR,070/066,サポート,"8,500","8,500","8,500"
シロナ,,SR,153/150,サポート,"4,500","4,500","4,500"
スイレン,,SR,118/114,サポート,"10,000","10,000","10,000"
スカル団のしたっぱ,,SR,065/060,サポート,"1,000","1,000","1,000"
センパイとコウハイ,,SR,077/070,サポート,"8,500","8,500","8,500"
センパイとコウハイ,,P,XY-P,サポート,"14,000","16,000","16,000"
ダイゴ,SR仕様,P,121/XY-P,サポート,"2,000","2,000","2,000"
ダイゴの決断,,SR,102/096,サポート,900,900,900
チェレン,,SR,063/059,サポート,"1,500","1,500","1,500"
デンジ,,SR,071/066,サポート,700,700,700
ナギ,,SR,088/078,サポート,"3,000","3,000","3,000"
ナタネ,,SR,070/066,サポート,"1,800","1,800","2,200"
ノボリとクダリ,,SR,155/150,サポート,500,600,600
ハウ,SR仕様,P,020/SM-P,サポート,"2,000","2,000","2,300"
バトルレポーター,,SR,103/096,サポート,"1,500","1,500","1,500"
ハラ,,SR,055/050,サポート,300,300,300
ハラ,チャンピオンズリーグ2017,P,082/SM-P,サポート,400,400,400
ハンサム,,SR,072/066,サポート,250,250,250
ヒガナ,,SR,059/053,サポート,"4,200","4,200","4,200"
ビッケ,,SR,057/051,サポート,"4,500","4,500","4,500"
フウとラン,,SR,103/096,サポート,500,500,500
プラターヌ博士,SR仕様,P,246/XY-P,サポート,"1,000","1,000","1,000"
フラダリ,,SR,085/080,サポート,"2,200","2,200","2,200"
プルメリ,,SR,057/051,サポート,"1,400","1,400","1,400"
フレア団のしたっぱ,SR仕様,-,186/171,サポート,"1,000","1,000","1,000"
ベル,,SR,063/059,サポート,"7,500","7,500","7,500"
ポケモンだいすきクラブ,,SR,071/066,サポート,300,300,300
ポケモンだいすきクラブ,,SR,087/080,サポート,"1,500","1,500","1,500"
ポケモンブリーダー,,SR,077/072,サポート,"1,200","1,200","1,200"
ポケモンレンジャー,,SR,058/054,サポート,"1,500","1,500","1,500"
ぼんぐり職人,,SR,075/066,サポート,500,500,500
マーズ,,SR,072/066,サポート,"1,500","1,500","1,500"
マーマネ,,SR,057/049,サポート,800,800,800
マオ,,SR,055/050,サポート,"6,500","6,500","6,500"
マキシ,,SR,056/050,サポート,400,400,400
マサキのメンテナンス,,SR,076/066,サポート,900,900,900
マツバ,,SR,055/050,サポート,200,200,200
マツリカ,,SR,056/050,サポート,"1,100","1,200","1,200"
マツリカ,,SR,198/173,サポート,"1,100","1,100","1,200"
ミカン,,SR,058/052,サポート,"2,000","2,000","2,000"
ミツル,,SR,089/078,サポート,"1,400","1,400","1,400"
モノマネむすめ,,SR,077/066,サポート,"1,500","1,500","1,500"
モノマネむすめ,キラ,P,024/L-P,サポート,"18,000","18,000","18,000"
ユリーカ,,SR,102/094,サポート,"2,000","2,000","2,000"
ライチ,SR仕様,P,053/SM-P,サポート,"4,000","4,000","4,500"
ラジュルネ,,SR,158/150,サポート,800,800,900
ラニュイ,,SR,160/150,サポート,"1,100","1,100","1,100"
リーリエ,,SR,119/114,サポート,"120,000","120,000","120,000"
リーリエ,,SR,066/060,サポート,"40,000","40,000","40,000"
リーリエ,未開封,P,080/SM-P,サポート,"13,000","13,000","13,000"
リーリエ,,P,080/SM-P,サポート,"4,000","4,000","4,000"
リーリエ,学園祭2017,P,148/SM-P,サポート,"1,000","1,000","1,000"
ルザミーネ,,SR,120/114,サポート,"9,000","9,500","9,500"
ルザミーネ,,SR,055/050,サポート,"9,500","9,500","9,500"
ルスワール,,SR,159/150,サポート,"1,600","1,600","1,600"
ルチア,,SR,104/096,サポート,"16,000","16,000","16,000"
ルミタン,,SR,157/150,サポート,600,600,700
ロケット団の工作,,SR,087/078,サポート,"2,000","2,000","2,000"
化石研究員,,SR,101/096,サポート,800,800,800
鍛冶屋,,P,XY-P,サポート,"2,500","2,500","2,500"
鍛冶屋,SR仕様,-,182/171,サポート,"1,300","1,300","1,300"
地底探検隊,,SR,073/066,サポート,"2,000","2,000","2,000"
釣り人,,SR,154/150,サポート,100,100,100
AZ,,-,138/171,サポート,10,10,10
AZ,ミラー,-,138/171,サポート,10,10,10
AZ,,U,084/088,サポート,10,10,10
N,ミラー,-,139/171,サポート,200,200,200
N,,-,011/018,サポート,10,10,10
N,,-,014/019,サポート,10,10,10
N,,-,016/020,サポート,10,10,10
N,,-,026/041,サポート,10,10,10
N,,-,139/171,サポート,10,10,10
N,,-,036/048,サポート,10,10,10
N,,U,076/078,サポート,10,10,10
アイリス,,U,071/076,サポート,10,10,10
アオギリの切り札,,U,066/070,サポート,30,30,30
アカギ◇,,-,144/173,サポート,10,10,10
アカギ◇,,PR,059/066,サポート,10,10,10
アクロマ,,-,012/016,サポート,10,10,10
アクロマ,,-,014/017,サポート,10,10,10
アクロマ,,-,035/048,サポート,10,10,10
アクロマ,,U,064/070,サポート,10,10,10
アズサ,ミラー,-,118/131,サポート,30,30,30
アズサ,ミラー,-,137/171,サポート,30,30,30
アセロラ,,TR,054/054,サポート,300,300,300
アセロラ,,P,223/SM-P,サポート,100,100,100
アセロラ,ミラー,-,047/049,サポート,10,10,10
アセロラ,ミラー,-,103/114,サポート,10,10,10
アセロラ,ミラー,-,128/150,サポート,10,10,10
アララギ博士,,P,012/BW-P,サポート,200,200,200
エーテル財団職員,,P,219/SM-P,サポート,30,50,50
エリートトレーナー,,U,076/081,サポート,100,100,100
オカルトマニア,ミラー,-,140/171,サポート,110,110,110
オカルトマニア,,-,027/041,サポート,10,10,10
オカルトマニア,,-,140/171,サポート,10,10,10
オカルトマニア,,P,173/XY-P,サポート,30,30,30
オカルトマニア,,U,077/081,サポート,10,10,10
おじょうさま,,TR,063/064,サポート,150,150,150
おじょうさま,,U,085/094,サポート,50,50,50
カキ,,TR,094/095,サポート,10,10,10
カヒリ,,P,333/SM-P,サポート,30,30,30
カリン,ミラー,-,142/171,サポート,30,30,30
カリン,,-,142/171,サポート,10,10,10
カリン,,P,256/XY-P,サポート,10,10,10
かんこうきゃく,,P,308/SM-P,サポート,30,30,30
かんこうきゃく,,TR,094/094,サポート,50,50,50
ククイ博士,,P,096/SM-P,サポート,30,30,30
グズマ,,TR,055/055,サポート,100,100,100
グズマ,,P,180/SM-P,サポート,30,30,30
シトロン,,P,200/XY-P,サポート,30,30,30
シロナ,,P,266/SM-P,サポート,100,100,100
シロナ,,P,335/SM-P,サポート,100,100,100
シロナ,,TR,095/095,サポート,100,100,100
スイレン,ミラー,-,106/114,サポート,30,30,30
スイレン,,P,036/SM-P,サポート,30,30,30
センパイとコウハイ,ミラー,-,123/131,サポート,150,150,150
センパイとコウハイ,,-,031/041,サポート,50,50,50
センパイとコウハイ,,-,147/171,サポート,50,50,50
センパイとコウハイ,ミラー,-,147/171,サポート,150,150,150
センパイとコウハイ,,U,066/070,サポート,50,50,50
ダイゴ,,-,014/018,サポート,30,30,30
ダイゴの決断,,R,088/096,サポート,30,30,30
ナリヤ・オーキド,,P,244/SM-P,サポート,10,10,10
プラターヌ博士,,P,028/XY-P,サポート,100,100,100
フレア団のしたっぱ,Pokemon Game Show当日限定使用カード金箔押し入り,P,XY-P,サポート,300,300,300
ベル,,P,098/BW-P,サポート,100,100,100
ポケモンレンジャー,ミラー,-,152/171,サポート,100,100,100
ポケモンレンジャー,,-,035/041,サポート,30,30,30
ポケモンレンジャー,,-,152/171,サポート,30,30,30
ポケモンレンジャー,,U,054/054,サポート,30,30,30
ポケモンレンジャー,,U,054/054,サポート,30,30,30
マオ,,P,246/SM-P,サポート,30,30,30
ミツル,ポケキュン仕様,U,032/032,サポート,50,50,50
モノマネむすめ,ミラー,U,069/070,サポート,500,500,500
モノマネむすめ,,-,063/128,サポート,100,100,100
モノマネむすめ,,U,069/070,サポート,100,100,100
リーリエ,,TR,053/054,サポート,250,250,250
リーリエ,ミラー,-,108/114,サポート,30,30,30
ルザミーネ,,TR,054/054,サポート,30,30,30
ルザミーネ◇,,PR,092/095,サポート,50,50,50
ロイヤルマスク,,P,084/SM-P,サポート,50,50,50
ロケット団の工作,,U,077/078,サポート,30,30,30
ロケット団参上!,,U,103/087,サポート,100,100,100
ワタル◇,,PR,050/053,サポート,10,10,10
鍛冶屋,ミラー,-,141/171,サポート,50,50,50
釣り人,ミラー,U,067/070,サポート,100,100,100
釣り人,,U,067/070,サポート,30,30,30
エーテルパラダイス保護区,,UR,070/055,スタジアム,200,200,200
せせらぎの丘,,UR,118/095,スタジアム,400,400,400
テンガン山,,UR,069/054,スタジアム,400,400,400
戒めの祠,,UR,115/095,スタジアム,100,100,100
うねりの大海,,U,068/070,スタジアム,10,10,10
うねりの大海,,-,015/018,スタジアム,10,10,10
うねりの大海,,-,046/049,スタジアム,10,10,10
うねりの大海,,-,037/041,スタジアム,10,10,10
うねりの大海,,-,153/171,スタジアム,10,10,10
うねりの大海,ミラー,-,153/171,スタジアム,30,30,30
サイレントラボ,ミラー,-,155/171,スタジアム,"1,100","1,100","1,100"
サイレントラボ,,U,069/070,スタジアム,900,900,900
サイレントラボ,,-,155/171,スタジアム,900,900,900
サンダーマウンテン◇,,PR,058/060,スタジアム,50,30,30
サンダーマウンテン◇,,PR,163/173,スタジアム,50,30,30
スカイフィールド,ミラー,-,129/131,スタジアム,400,400,400
スカイフィールド,,U,077/078,スタジアム,150,150,150
スカイフィールド,,-,040/041,スタジアム,150,150,150
スカイフィールド,,-,042/048,スタジアム,150,150,150
スカイフィールド,,-,158/171,スタジアム,150,150,150
スカイフィールド,ミラー,-,158/171,スタジアム,400,400,400
タチワキシティジム,,U,057/059,スタジアム,150,150,150
パラレルシティ,ミラー,-,159/171,スタジアム,100,100,100
ヒートファクトリー◇,,PR,093/095,スタジアム,10,10,10
ヒートファクトリー◇,,PR,166/173,スタジアム,10,10,10
フェアリーガーデン,ミラー,-,160/171,スタジアム,10,10,10
ブラックマーケット◇,,PR,052/052,スタジアム,10,10,10
ブラックマーケット◇,,PR,167/173,スタジアム,10,10,10
ライフフォレスト◇,,PR,050/050,スタジアム,10,10,10
ライフフォレスト◇,,PR,168/173,スタジアム,10,10,10
リバースバレー,,U,079/080,スタジアム,10,10,10
リバースバレー,,-,161/171,スタジアム,10,10,10
リバースバレー,ミラー,-,161/171,スタジアム,30,30,30
ワンダーラビリンス◇,,PR,145/150,スタジアム,10,10,10
ワンダーラビリンス◇,,PR,169/173,スタジアム,10,10,10
記憶のほこら,,U,068/070,スタジアム,10,10,10
次元の谷,ミラー,-,128/131,スタジアム,10,10,10
次元の谷,ミラー,-,156/171,スタジアム,10,10,10
ジュカインex,,R,006/080,草,100,100,100
キュウコンex,,R,018/083,炎,200,200,200
ブースターex,,-,004/015,炎,200,200,200
バクーダex,,-,006/015,炎,50,50,50
ラティオスex,,R,023/068,水,400,400,400
ラグラージex,,R,023/075,水,400,400,400
ギャラドスex,,R,035/082,水,100,100,100
ライボルトex,,R,033/082,雷,200,200,200
ジュカインex,,R,034/075,超,100,100,100
グラードンex,,-,056/083,闘,100,100,100
ラグラージex,,R,050/080,闘,200,200,200
サメハダーex,,R,072/082,悪,100,100,100
R団のファイヤーex,,R,014/020,悪,"1,500","1,500","1,500"
R団のペルシアンex,,P,036/PCG-P,悪,"1,000","1,000","1,000"
デンリュウex,,R,025/054,竜,150,150,150
ラティオスex,,-,012/019,無,10,10,10
ツボツボ,,P,067/L-P,闘,"20,000","20,000","20,000"
ヒードランLv.X,,R,015/092,炎,250,250,250
ヒードランLv.X,,P,092/DP-P,炎,300,300,300
カイリューFBLv.50,,P,018/DPt-P,無,"6,500","6,500","6,500"
ジュゴン,,R,025/088,水,50,50,50
アグノム,LV.55,R,-,超,600,600,600
ギラティナLv.X,,R,052/096,超,100,100,100
ゲンガー,,R,015/040,超,700,700,700
ユクシー,,R,Lv.55,超,"1,000","1,000","1,000"
ネンドール,,R,DPBP#397,闘,600,600,600
ダークライ,,P,046/DP-P,悪,200,200,200
ダークライ,未開封,P,046/DP-P,,400,400,600
ヤミラミ,,U,062/092,悪,100,100,100
わるいバンギラス,,-,012/020,悪,30,30,30
わるいバンギラス,,-,011/020,悪,30,30,30
ジラーチ,,R,066/090,鋼,600,600,600
ルギアLEGEND,,☆,029/070+030/070,水,"5,000","5,000","5,000"
ホウオウLEGEND,,☆,016/070+015/070,炎,"5,000","5,000","5,000"
カイオーガ＆グラードンLEGEND,,☆,070/080+071/080,水・闘,"5,000","5,000","5,000"
レックウザ＆デオキシスLEGEND,,☆,074/080+075/080,無色・超,"5,000","5,000","5,000"
スイクン＆エンテイLEGEND,,☆,065/080+066/080,水炎,"5,000","5,000","5,000"
エンテイ＆ライコウLEGEND,,☆,063/080+064/080,炎・雷,"5,000","5,000","5,000"
ライコウ＆スイクンLEGEND,,☆,067/080+068/080,雷・水,"5,000","5,000","5,000"
パルキア＆ディアルガLEGEND,,☆,072/080+073/080,水・鋼,"5,000","5,000","5,000"
ダークライ＆クレセリアLEGEND,,☆,035/040+036/040,悪超,"5,000","5,000","5,000"
ゴージャスボール,,-,081/092,グッズ,700,700,700
ゴージャスボール,,P,-,グッズ,"1,200","1,200","1,200"
ジャンクアーム,,U,076/080,グッズ,200,200,200
ジャンクアーム,ミラー,U,076/080,グッズ,300,300,300
ロストリムーバー,,-,038/040,グッズ,50,50,50
ロストリムーバー,,P,057/L-P,グッズ,"4,500","4,500","4,500"
はじまりの扉,,P,037/DPt-P,グッズ,"2,000","2,000","2,000"
ゲーチス,,SR,055/051,サポート,"1,300","1,300","1,300"
ゲーチス,,-,013/016,サポート,50,50,50
ゲーチス,,U,048/051,サポート,50,50,50
こわいおねえさん,,SR,184/171,サポート,"10,000","10,000","10,000"
こわいおねえさん,ミラー,-,145/171,サポート,30,30,30
ふたごちゃん,,U,078/080,サポート,100,100,100
ふたごちゃん,ミラー,U,078/080,サポート,800,800,800
フラダリの奥の手,,SR,095/088,サポート,"1,000","1,000","1,000"
ポケモンコレクター,,-,017/019,サポート,50,50,50
ポケモンコレクター,,U,068/070,サポート,50,50,50
ポケモンコレクター,,-,016/019,サポート,50,50,50
ポケモンコレクター,ミラー,U,068/070,サポート,600,600,600
マツブサの隠し玉,,SR,078/070,サポート,"1,100","1,100","1,100"
マツブサの隠し玉,,U,067/070,サポート,10,10,10
アルフの遺跡,ミラー,-,077/080,スタジアム,50,50,50
アルフの遺跡,,-,077/080,スタジアム,10,10,10
バトルタワー,,P,019/DPt-P,スタジアム,800,800,800
セキエイこうげん,頂上大激突,P,070/L-P,スタジアム,"10,000","10,000","10,000"
フシギバナ LV.67,マークあり,R,旧裏,草,300,300,300
フシギバナ LV.67,「とりかえっこプリーズ!」キャンペーンカード,R,旧裏,草,300,300,300
R団のストライク LV23,,R,旧裏,草,100,100,100
スピアー LV.36,,R,旧裏,草,250,250,250
ドガース LV.14,,-,旧裏,草,400,400,400
エリカのフシギバナ LV.45,,R,旧裏,草,250,250,250
キョウのスピアー LV.34,,R,旧裏,草,150,150,150
サカキのニドキング LV58,,R,旧裏,草,100,100,100
ヒトカゲ LV.10,,-,旧裏,炎,100,100,100
リザードン LV.76,「とりかえっこプリーズ!」キャンペーンカード,R,旧裏,炎,"1,500","1,500","1,500"
ヒノアラシ LV.19,,-,旧裏,炎,500,500,500
バクフーン LV.55,,R,旧裏,炎,150,150,150
ファイヤー LV.37,,R,旧裏,炎,"1,200","1,200","1,200"
わるいカイリュー LV.33,,R,旧裏,炎,100,100,100
R団のファイヤー LV.26,,R,旧裏,炎,100,100,100
タケシのキュウコン LV30,,R,旧裏,炎,100,100,100
カツラのリザードン LV.50,,R,旧裏,炎,600,600,600
ブースター LV.28,,R,旧裏,炎,100,100,100
ホウオウ LV.45,,R,旧裏,炎,500,500,500
エンテイ LV.38,,R,旧裏,炎,250,250,250
ブビィ LV.4,,-,旧裏,炎,"1,200","1,200","1,200"
わるいオーダイル LV.44,,R,旧裏,水,50,50,50
カメックス LV.52,第1弾拡張パック＆スターターパック,R,旧裏,水,600,600,600
カメックス LV.52,「とりかえっこプリーズ!」キャンペーンカード,R,旧裏,水,600,600,600
フリーザー LV.35,,R,旧裏,水,100,100,100
カスミのギャラドス LV.42,,R,旧裏,水,100,100,100
シャワーズ LV.42,,R,旧裏,水,100,100,100
ニョロトノ LV.53,,R,旧裏,水,100,100,100
スイクン LV.33,,R,旧裏,水,150,150,150
カブトプス LV.42,,R,旧裏,水,100,100,100
キングドラ LV.49,,R,旧裏,水,100,100,100
ゼニガメ LV.15,,-,旧裏,水,100,100,100
ピチュー LV.3,,-,旧裏,雷,"1,000","1,000","1,000"
ライチュウ LV.33,,-,旧裏,雷,300,300,300
ピカチュウ LV.5,,-,旧裏,雷,100,100,100
ライチュウ LV.45,,R,旧裏,雷,100,100,100
サンダー LV.28,,,旧裏,雷,"1,200","1,200","1,200"
わるいライチュウ LV.31,,R,旧裏,雷,800,800,800
サンダース LV.29,,R,旧裏,雷,100,100,100
ライコウ LV.40,,R,旧裏,雷,150,150,150
デンリュウ LV.46,,R,旧裏,雷,100,100,100
ムウマ LV.25,,R,旧裏,超,50,50,50
ミュウ LV.23,,R,旧裏,超,100,100,100
ゲンガー LV.38,,R,旧裏,超,100,100,100
ナツメのゲンガー LV.39,,R,旧裏,超,200,200,200
R団のミュウツー LV.35,,R,旧裏,超,200,200,200
エーフィ LV.45,,R,旧裏,超,300,300,300
セレビィ LV.16,,R,旧裏,超,300,300,300
アンノーンX LV.22,,-,旧裏,超,400,400,400
わるいゲンガー LV.32,,-,旧裏,超,200,200,200
わるいエーフィ LV.32,,-,旧裏,超,250,250,250
GR団のミュウツー LV.35,,R,旧裏,超,"3,000","3,000","3,000"
ミュウ,古代,R,旧裏,超,"1,200","1,200","1,200"
プテラ LV.27,,R,旧裏,闘,150,150,150
カブト LV.22,,-,旧裏,闘,150,150,150
ブラッキー LV.40,,R,旧裏,悪,300,300,300
ヘルガー LV.37,,R,旧裏,悪,100,100,100
バンギラス LV.54,,R,旧裏,悪,100,100,100
ポリゴン2 LV.33,,R,旧裏,無,50,50,50
やさしいカイリュー LV.47,,R,旧裏,無,50,50,50
カイリュー LV.45,,R,旧裏,無,100,100,100
わるいリザードン LV.38,,R,旧裏,無,500,500,500
ルギア LV.45,,R,旧裏,無,250,250,250
コイル LV.16,,R,旧裏,無,250,250,250
メタモン LV.15,,-,旧裏,無,150,150,150
ピジョン LV.38,,-,旧裏,無,100,100,100
ルギア LV.55,,R,旧裏,無,"1,800","1,800","1,800"
わるいオニドリル LV.25,,,旧裏,無,"2,500","2,500","2,500"
夜の廃品回収,,R,旧裏,グッズ,100,100,100
パソコン通信,,R,旧裏,グッズ,200,200,200
学習装置,,-,旧裏,グッズ,200,200,200
ポケモン交換おじさん,,R,旧裏,サポート,250,250,250
オーキドはかせ,,R,旧裏,サポート,200,200,200
ナツメの眼,,R,旧裏,サポート,100,100,100
ウツギはかせ,,R,旧裏,サポート,500,500,500
クルミ,,R,旧裏,サポート,400,400,400
エリカ,,R,旧裏,サポート,50,50,50
エリカ,,-,旧裏,サポート,50,50,50
ナツメ,,R,旧裏,サポート,50,50,50
ナツメ,,-,旧裏,サポート,50,50,50
キョウ,,R,旧裏,サポート,50,50,50
カツラ,,-,旧裏,サポート,50,50,50
カツラ,,R,旧裏,サポート,50,50,50
サカキ,,R,旧裏,サポート,50,50,50
エネルギースタジアム,,-,旧裏,スタジアム,100,100,100
ゼクロムGX,SR仕様,P,239/SM-P,雷,"200,000","200,000","200,000"
ゼクロムGX,HR仕様,P,240/SM-P,雷,"1,300,000","1,300,000","1,300,000"
ミュウツーGX,HR仕様,P,364/SM-P,超,"600,000","600,000","600,000"
ミュウツーGX,SR仕様,P,363/SM-P,超,"90,000","90,000","90,000"
リザードンV,SR仕様,P,103/S-P,炎,"130,000","130,000","130,000"
リザードンVMAX,HR仕様,P,104/S-P,炎,"620,000","620,000","620,000"
リザードンVMAX＋リザードンV,HR仕様/SR仕様/当選通知書付き,P,103/S-P+104/S-P,炎,"730,000","730,000","730,000"
レシラム,UR仕様,-,094/093,炎,"13,000","13,000","13,000"
ゼクロム,UR仕様,-,095/093,雷,"13,000","13,000","13,000"
レシラム,15周年,SR,055/053,炎,"90,000","90,000","90,000"
ゼクロム,15周年,SR,055/053,雷,"90,000","90,000","90,000"
ギラティナEX,,P,146/BW-P,竜,"130,000","130,000","130,000"
レックウザEX,,P,145/BW-P,竜,"130,000","130,000","130,000"
MサチコEX,,P,298/XY-P,妖,"800,000","800,000","800,000"
ポンチョを着たイーブイ,,P,137/SM-P,雷,"6,500","6,500","6,500"
ポンチョを着たイーブイ,,P,138/SM-P,無,"6,500","6,500","6,500"
ポンチョを着たイーブイ,,P,139/SM-P,無,"6,500","6,500","6,500"
ポンチョを着たイーブイ,,P,140/SM-P,無,"6,500","6,500","6,500"
ポンチョを着たイーブイ,,P,141/SM-P,無,"6,500","6,500","6,500"
ポンチョを着たイーブイ,,P,142/SM-P,無,"6,500","6,500","6,500"
ポンチョを着たイーブイ,,P,143/SM-P,無,"6,500","6,500","6,500"
ポンチョを着たイーブイ,,P,144/SM-P,無,"6,500","6,500","6,500"
ポンチョを着たイーブイ,未開封,P,137/SM-P,無,"9,000","9,000","9,000"
ポンチョを着たイーブイ,未開封,P,138/SM-P,無,"9,000","9,000","9,000"
ポンチョを着たイーブイ,未開封,P,139/SM-P,無,"9,000","9,000","9,000"
ポンチョを着たイーブイ,未開封,P,140/SM-P,無,"9,000","9,000","9,000"
ポンチョを着たイーブイ,未開封,P,141/SM-P,無,"9,000","9,000","9,000"
ポンチョを着たイーブイ,未開封,P,142/SM-P,無,"9,000","9,000","9,000"
ポンチョを着たイーブイ,未開封,P,143/SM-P,無,"9,000","9,000","9,000"
ポンチョを着たイーブイ,未開封,P,144/SM-P,無,"9,000","9,000","9,000"
セレビィex,未開封,P,006/PLAY,草,"30,000","30,000","30,000"
セレビィex,,P,006/PLAY,草,"15,000","15,000","15,000"
